Данные по клиентам за 2018 года


Клиент:Кол-во:Цена:Дата
Абоимова Е.И.:4:1,180:09/14/2018
Абумайлов П.Н.:22:531:08/18/2018
Авдошкин Я.Т.:24:863:07/05/2018
Автухова А.Т.:9:936:05/26/2018
Агапова Б.П.:20:759:01/20/2018
Александрин Л.А.:15:830:01/11/2018
Алистратов Ф.Ф.:4:1,476:05/24/2018
Амбражевич В.Ю.:21:541:04/03/2018
Анисимова Р.И.:24:1,256:01/04/2018
Аптекарь В.Д.:11:714:12/10/2018
Асланов К.П.:16:1,289:01/30/2018
Аслаханов Т.Е.:22:1,030:06/16/2018
Астафьева Е.А.:23:1,025:06/22/2018
Афанасьева А.Т.:1:580:09/21/2018
Афонин П.О.:12:1,376:09/28/2018
Аюшиев М.В.:17:982:06/23/2018
Бабышев Д.Е.:12:1,078:12/18/2018
Балабанова В.Ф.:3:845:04/17/2018
Бандуркин Г.Г.:10:1,225:11/15/2018
Баранова Т.К.:10:746:04/12/2018
Башкатов З.Л.:17:1,151:04/15/2018
Беликов Я.И.:12:813:12/07/2018
Белов В.Б.:10:1,269:12/05/2018
Бендлин З.К.:21:660:12/14/2018
Бендлина А.Т.:18:1,227:03/02/2018
Березин Л.Ф.:10:627:10/21/2018
Берёзкина К.С.:12:1,106:06/17/2018
Бесчастныха Р.А.:19:814:12/21/2018
Блантер Я.Ф.:22:576:03/23/2018
Бобылев И.Т.:1:1,081:05/24/2018
Бок Д.Ю.:15:594:07/16/2018
Болтоногов Г.В.:18:997:06/15/2018
Борцов Ф.Е.:13:707:02/10/2018
Бояринова В.А.:22:693:10/08/2018
Брантов Ч.Л.:17:536:08/26/2018
Буданов Р.П.:13:948:07/18/2018
Булкина Л.И.:15:864:04/14/2018
Буркин И.М.:7:1,264:07/27/2018
Буров В.С.:6:1,497:03/04/2018
Вастьянов Ф.И.:19:1,180:08/01/2018
Васютин Я.Г.:3:733:06/20/2018
Вельяминов М.Э.:18:535:09/22/2018
Вершинин С.Ф.:17:1,426:04/05/2018
Витинский А.Н.:12:1,184:12/20/2018
Вицин А.Е.:13:1,359:10/26/2018
Волкова Р.Д.:16:1,169:07/20/2018
Воронков Р.З.:24:765:08/02/2018
Гаврюшина В.Г.:22:1,020:10/30/2018
Ганичев Н.Е.:13:1,004:11/11/2018
Гаранина А.Е.:2:646:03/25/2018
Гареев Э.М.:24:1,224:09/07/2018
Гик Я.С.:5:1,411:01/19/2018
Глинина В.В.:21:1,206:08/16/2018
Голованов В.Ф.:17:502:07/31/2018
Голованова С.Л.:10:750:03/10/2018
Гольц Е.Г.:8:864:07/01/2018
Гордеев А.И.:18:1,229:06/10/2018
Горелова М.А.:5:515:07/03/2018
Графов Л.С.:15:860:02/06/2018
Греф В.М.:11:768:07/17/2018
Громыко Ф.Б.:15:625:06/26/2018
Гурьянова М.Д.:22:716:03/03/2018
Гусева Н.К.:24:1,267:09/12/2018
Дарюшин В.А.:23:794:05/25/2018
Двойнева А.Е.:13:766:10/29/2018
Двойнева К.С.:4:872:04/17/2018
Дежнёв Э.Г.:5:646:03/29/2018
Деменок Ю.Н.:22:1,046:09/07/2018
Денисов О.А.:2:1,215:01/01/2018
Державин М.Ю.:23:1,019:05/30/2018
Драгомиров М.К.:4:1,155:03/14/2018
Другаль Е.М.:1:1,215:08/07/2018
Дубинина Я.Н.:23:741:03/13/2018
Дуболазов Ч.С.:25:619:09/14/2018
Дудинов А.Н.:1:1,251:12/16/2018
Дьячков И.Л.:25:1,241:01/27/2018
Евстигнеев К.З.:24:1,486:09/04/2018
Ёжова Е.А.:14:1,374:02/05/2018
Елисеева Е.И.:15:635:12/22/2018
Ёлкина И.Л.:19:1,389:08/11/2018
Ерзова Л.С.:23:1,019:08/03/2018
Ермишина Е.Ф.:12:1,381:02/21/2018
Жарыхина К.И.:24:1,055:06/08/2018
Желвакова Л.Е.:10:1,448:02/23/2018
Жернаков Б.Е.:13:827:01/20/2018
Жидков М.Н.:16:1,202:04/28/2018
Жутов И.Г.:25:664:12/30/2018
Зарубина И.А.:24:1,026:12/31/2018
Заседателев А.А.:7:1,416:07/04/2018
Зыльков А.Ф.:25:1,038:04/22/2018
Ивашева З.О.:23:983:06/26/2018
Игнатьев Д.Д.:4:952:04/27/2018
Игумнов Л.Т.:4:1,306:04/10/2018
Кабаев В.М.:15:757:07/11/2018
Каде М.С.:12:804:11/17/2018
Кадетова С.В.:18:999:11/05/2018
Казакевича Е.К.:8:882:03/29/2018
Казьмина Л.И.:15:1,496:05/02/2018
Казьмина Я.В.:8:973:11/26/2018
Каипов И.М.:2:1,126:03/03/2018
Каипов М.Д.:20:1,387:10/01/2018
Калагин П.А.:20:744:06/30/2018
Кальченко С.А.:16:820:02/08/2018
Каменчука В.И.:23:1,404:07/20/2018
Каналина А.А.:10:1,465:08/30/2018
Карташёв А.С.:12:1,196:12/25/2018
Карташов М.Ф.:23:1,108:09/07/2018
Кахманова Г.В.:10:823:07/19/2018
Каценеленбоген П.Н.:4:1,005:05/19/2018
Квакин А.Б.:20:1,325:06/13/2018
Кимаска М.Г.:3:951:07/16/2018
Кирилов С.Ф.:2:1,474:10/14/2018
Кобзев М.Е.:6:563:03/28/2018
Козырев Ч.Д.:22:971:02/12/2018
Колобкова М.Ф.:2:973:11/27/2018
Колобов И.В.:14:868:06/21/2018
Колосов Р.Н.:4:1,493:06/23/2018
Кольцов З.Д.:5:1,456:08/05/2018
Комаров В.В.:9:1,400:08/06/2018
Конака А.Л.:23:1,466:03/25/2018
Кондр П.С.:11:1,394:01/09/2018
Коновалов В.З.:8:695:04/07/2018
Коновалова К.Г.:20:1,387:06/12/2018
Коракова Л.Ф.:6:1,219:12/04/2018
Корепанов В.А.:12:1,433:10/25/2018
Корнеев Н.Ю.:8:751:06/20/2018
Корсаков Р.Е.:22:1,439:04/03/2018
Косинова Р.Н.:1:520:02/23/2018
Косма В.А.:16:1,302:03/06/2018
Краевский И.Е.:18:1,038:03/20/2018
Кривчиков М.К.:5:742:08/29/2018
Крылаева А.К.:18:748:02/08/2018
Кувшинов Н.М.:2:525:06/18/2018
Кузнецова Д.А.:25:980:12/29/2018
Куклов Н.Д.:4:824:03/09/2018
Кулаков М.А.:9:794:09/24/2018
Кулдошин Н.М.:6:1,157:07/25/2018
Лавров К.Л.:10:1,228:10/04/2018
Лагранский М.И.:3:809:04/10/2018
Ланцова А.И.:13:1,136:03/31/2018
Лапаев В.П.:5:1,116:02/16/2018
Ласман П.А.:15:843:05/25/2018
Левченко Л.Д.:21:1,268:06/02/2018
Летов М.П.:14:1,017:04/15/2018
Ломтева Р.А.:17:1,121:08/23/2018
Лукьянова Н.В.:12:1,079:04/08/2018
Лыков Е.О.:2:712:06/15/2018
Лыткин М.Е.:6:1,389:05/04/2018
Макаров А.Г.:23:1,459:04/23/2018
Маслов П.Д.:5:568:11/11/2018
Махнера Л.Р.:21:1,432:07/03/2018
Медведев Л.Е.:20:900:07/02/2018
Меликов В.К.:17:859:07/18/2018
Мерзлова В.И.:20:1,009:03/05/2018
Минеев Ф.У.:8:818:12/22/2018
Морошкин Д.Я.:4:800:06/14/2018
Муленко Д.П.:20:1,478:04/27/2018
Мурзакова Т.Я.:2:949:07/29/2018
Мухаметов И.И.:11:682:03/02/2018
Муханов Б.М.:16:912:10/17/2018
Муханова Э.Ф.:12:1,460:02/05/2018
Мухова Х.В.:23:1,230:10/07/2018
Мяукин О.Л.:13:944:03/15/2018
